BCNN_VGG16:
---Makename----:
Class11 :    convertible     , TP:  27  , TP+FP:  43  , TP+FN:  33  , Precision:0.6279, Recall:0.8182
Average Precision:  0.7326, Average Recall:  0.8484
++++++++++++++++++++++++++++++++++++++++++++++++++++
-----Color-----:
Class 0 :       black        , TP: 589  , TP+FP: 599  , TP+FN: 604  , Precision:0.9833, Recall:0.9752
Class 1 :       white        , TP: 1093 , TP+FP: 1113 , TP+FN: 1112 , Precision:0.9820, Recall:0.9829
Class 2 :        red         , TP: 385  , TP+FP: 388  , TP+FN: 394  , Precision:0.9923, Recall:0.9772
Class 3 :       yellow       , TP:  27  , TP+FP:  27  , TP+FN:  27  , Precision:1.0000, Recall:1.0000
Class 4 :        blue        , TP: 217  , TP+FP: 220  , TP+FN: 219  , Precision:0.9864, Recall:0.9909
Class 5 :       green        , TP:  11  , TP+FP:  12  , TP+FN:  11  , Precision:0.9167, Recall:1.0000
Class 6 :       purple       , TP:  10  , TP+FP:  23  , TP+FN:  10  , Precision:0.4348, Recall:1.0000
Class 7 :       orange       , TP:  60  , TP+FP:  60  , TP+FN:  62  , Precision:1.0000, Recall:0.9677
Class 8 :        gold        , TP:  1   , TP+FP:  1   , TP+FN:  1   , Precision:1.0000, Recall:1.0000
Class 9 :       silver       , TP: 426  , TP+FP: 452  , TP+FN: 455  , Precision:0.9425, Recall:0.9363
Average Precision:  0.9238, Average Recall:  0.9830
++++++++++++++++++++++++++++++++++++++++++++++++++++
--Seat Number--:
Class 0 :        zero        , TP:  6   , TP+FP:  10  , TP+FN:  7   , Precision:0.6000, Recall:0.8571
Class 1 :        two         , TP: 200  , TP+FP: 246  , TP+FN: 235  , Precision:0.8130, Recall:0.8511
Class 2 :       three        , TP:  3   , TP+FP:  8   , TP+FN:  6   , Precision:0.3750, Recall:0.5000
Class 3 :        four        , TP: 240  , TP+FP: 329  , TP+FN: 305  , Precision:0.7295, Recall:0.7869
Class 4 :        five        , TP: 1901 , TP+FP: 1968 , TP+FN: 2066 , Precision:0.9660, Recall:0.9201
Class 5 :        six         , TP:  11  , TP+FP:  17  , TP+FN:  15  , Precision:0.6471, Recall:0.7333
Class 6 :       seven        , TP: 164  , TP+FP: 228  , TP+FN: 192  , Precision:0.7193, Recall:0.8542
Class 7 :       eight        , TP:  20  , TP+FP:  34  , TP+FN:  22  , Precision:0.5882, Recall:0.9091
Class 8 :        nine        , TP:  28  , TP+FP:  34  , TP+FN:  31  , Precision:0.8235, Recall:0.9032
Class 9 :        ten         , TP:  0   , TP+FP:  1   , TP+FN:  0   , Precision:0.0000, Recall:   nan
Class10 :       eleven       , TP:  3   , TP+FP:  5   , TP+FN:  3   , Precision:0.6000, Recall:1.0000
Class11 :       twelve       , TP:  2   , TP+FP:  3   , TP+FN:  2   , Precision:0.6667, Recall:1.0000
Class12 :      fifteen       , TP:  8   , TP+FP:  9   , TP+FN:  9   , Precision:0.8889, Recall:0.8889
Class13 :     twenty-one     , TP:  2   , TP+FP:  3   , TP+FN:  2   , Precision:0.6667, Recall:1.0000
Class14 :    twenty-three    , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Average Precision:  0.6488, Average Recall:  0.8618
++++++++++++++++++++++++++++++++++++++++++++++++++++
--Door Number--:
